Subject,mean_sentiment,n_feedback,rank_score
Breakfast Reception with Dan McCarty - Fx Ctr,0.0,1,0.0
Business Risk Management,0.0,1,0.0
Buy DVD via ColumbiaHouse.com,0.0,2,0.0
CAISO Notice: August 31 Distributed Generation Meeting,0.0,1,0.0
Commissioner.COM trade decision,0.0,2,0.0
CommodityLogic documents,0.0,2,0.0
Commonwealth Energy Corporation,0.0,1,0.0
"Communication of Deferral Plan Status for Active and Inactive
 Employees",0.0,1,0.0
Communications Workshop,0.0,1,0.0
Computer,0.0,1,0.0
Conference Call on Wednesday morning,0.0,1,0.0
Conference Update,0.0,1,0.0
Congrats,0.0,1,0.0
Candidate Contact Information,0.0,1,0.0
Carolina Power & Light Company and Florida Power Corporation,0.0,1,0.0
Carthage GAS DAILY MONTHLY INDEX,0.0,1,0.0
Central Illinois Light Company,0.0,1,0.0
Chad Starnes,0.0,1,0.0
Change in firm redirect policy,0.0,1,0.0
Cheapest Long Distance - NO CATCH!,0.0,2,0.0
Contractor List,0.0,2,0.0
Cool Sailing Pics,0.0,2,0.0
Copier Commitment Information Requested,0.0,1,0.0
"Coral Power, LLC",0.0,1,0.0
Credit Jobs,0.0,1,0.0
Credit Review Meeting EB13C2,0.0,1,0.0
Credit Watch List--4/23/01,0.0,1,0.0
Cruise,0.0,1,0.0
DCB Passwords,0.0,1,0.0
ClickAtHome Pilot 3 - Last Day to speak with Dell,0.0,2,0.0
Clickpaper Review,0.0,1,0.0
"Coffee & Donuts, Friday 8:00 - 9:00 a.m.",0.0,1,0.0
ComEd and Cinergy Markets,0.0,1,0.0
Coming to London,0.0,1,0.0
Commissioner.COM E-Reports for Y2KG 11/13/00,0.0,2,0.0
Commissioner.COM Transaction Request,0.0,5,0.0
Data Integrity,0.0,1,0.0
Dave Kopel on NRO,0.0,1,0.0
Day of the Trader - Las Vegas,0.0,1,0.0
Days Out of Office,0.0,2,0.0
Dayton Power & Light; Sempra Energy Trading,0.0,2,0.0
Dean Laurent and Joe Errigo,0.0,1,0.0
Dec Schedule,0.0,1,0.0
December Course Offerings,0.0,1,0.0
December Newsletter - Free CD with any order!,0.0,1,0.0
Congrats!,0.0,1,0.0
Congratulations,0.0,9,0.0
Congratulations!,0.0,7,0.0
Connecticut Municipal Electric Energy Cooperative,0.0,3,0.0
Consolidated Global Standards 12/18/00,0.0,1,0.0
Continental Power Transmission,0.0,1,0.0
Contract System Review - EB 4102,0.0,1,0.0
Dinner,0.0,1,0.0
Dinner Friday,0.0,2,0.0
Dinner Tomorrow,0.0,1,0.0
Dinner with UT Students,0.0,4,0.0
Disbanding of Joel Henenberg's Team,0.0,1,0.0
"Discretionary Holiday - Friday, April 13",0.0,1,0.0
Dog,0.0,1,0.0
Don't forget to register!,0.0,3,0.0
"Don, claim your gift!",0.0,2,0.0
DCB info,0.0,2,0.0
DPR - 8/23/00,0.0,1,0.0
DPR Holiday Schedule,0.0,1,0.0
DRAFT,0.0,1,0.0
"DRAFT:  INFORMATION, Please Read: UBSWE Migration postponed",0.0,1,0.0
DUKE to SOCO deal 1-30-01,0.0,1,0.0
Darrel Jackson,0.0,2,0.0
"Dove Hunt in Mason, TX",0.0,1,0.0
Dow Pipeline Company,0.0,2,0.0
Draft,0.0,2,0.0
Draft Date,0.0,1,0.0
Draft change request,0.0,1,0.0
Draft info,0.0,1,0.0
Draft of Southern Cone Reports,0.0,1,0.0
Dream Matchup,0.0,1,0.0
Dues,0.0,2,0.0
Deferred Annuity,0.0,1,0.0
Desk Info Sheet,0.0,1,0.0
Desk Info Speadsheet,0.0,1,0.0
Details of Thursday Afternoon OpRisk Meeting,0.0,2,0.0
Development Center Class Reminder - James Scribner,0.0,1,0.0
Did I miss you?,0.0,3,0.0
"Did you just win $1,000?",0.0,2,0.0
EES Report from EnTelligence,0.0,1,0.0
EGM Management Summary / Hot List as of 10/4,0.0,1,0.0
EIM Resources,0.0,1,0.0
ENA Group Expenses,0.0,1,0.0
ENA Management Committee,0.0,1,0.0
ENA SAP Controls Projects,0.0,2,0.0
EOL Average Deal Count as of 08-30-00,0.0,1,0.0
EOL stats for Q4 2000,0.0,2,0.0
"EPMI Real-time Traders and Schedulers working during the
 Thanksgiving Holiday",0.0,1,0.0
Doorstep RAC Direction,0.0,1,0.0
Doorstep meeting 8/4 New time - 9:30 AM,0.0,1,0.0
Doorstep personnel from London,0.0,1,0.0
Dope Wars 2.0 for Windows - Order No. 330038,0.0,3,0.0
Dot's Shirleys 90th birthday party,0.0,1,0.0
Dove HUNT in Mason TX - Joe Ebert,0.0,2,0.0
"Dove Hunt (Sept 1,2)",0.0,1,0.0
Eastern Interconnect - Then and Now,0.0,1,0.0
Editorial The Hijacking of the Presidency,0.0,1,0.0
El Paso Electric Company,0.0,4,0.0
El Tiempo,0.0,1,0.0
Emily's First Pictures,0.0,1,0.0
Employee Profile - Brent Price,0.0,1,0.0
EnTelligence Tag Line Contest Results,0.0,1,0.0
EnTelligence WebSite,0.0,1,0.0
EnVision - Updated,0.0,1,0.0
"Duke Purchase for tomorrow, April 26th",0.0,1,0.0
DynegyDirect,0.0,1,0.0
E Services company,0.0,2,0.0
"EB 3305  Nov. & Dec Report- Tom Bauer, John Sorrells, Wes Colwell
 (Sabrina x66340)",0.0,1,0.0
EDGAR Online - Here is the Information You Requested,0.0,1,0.0
EES Calls to Power Marketing,0.0,1,0.0
Enpower counterparties,0.0,2,0.0
"Enron Conference Call Today, 11:00am CST",0.0,1,0.0
Enron Europe FX/IR BRM,0.0,2,0.0
"Enron Federal Credit Union - Loan Response, Application Number:
 725068.01",0.0,4,0.0
Enron In Action 11.19.01,0.0,1,0.0
Enron Issues,0.0,1,0.0
Enron Japan Trading,0.0,1,0.0
Enron Japan Weekly update.,0.0,1,0.0
Enron Management Conference,0.0,3,0.0
"EPMI Real-time Traders and Schedulers working during the
 Thanksgiving Holiday FY2001",0.0,1,0.0
ERCOT Readiness Update attached,0.0,3,0.0
ERMS Resources,0.0,1,0.0
ERV Notification:  (Violation/Notification Memo - 10/08/2001),0.0,1,0.0
EWS Organizational Announcement,0.0,2,0.0
East Power Candidate,0.0,7,0.0
East Power Candidates,0.0,1,0.0
Executive Committee Meeting,0.0,1,0.0
Expense Report for Stephen Schwarz Dated 12/20/99,0.0,2,0.0
Expense Report for Stephen Schwarz Dated 2/25/00,0.0,2,0.0
Expense Report for Stephen Schwarz Dated 4/13/00,0.0,2,0.0
Expense Report for Stephen Schwarz Dated 6/5/00,0.0,1,0.0
Expense Report for Stephen Schwarz Dated 7/6/00,0.0,2,0.0
Express Pipeline Partnership,0.0,1,0.0
Extra Transmission Porviders,0.0,1,0.0
FFL Dues,0.0,1,0.0
Enabled EMail Maskell,0.0,1,0.0
End of Season,0.0,1,0.0
Energy Ops Showstopper Status Report - 6/29/00,0.0,1,0.0
Energy Ops Showstopper Status Report - 6/30/00,0.0,1,0.0
Engage Energy America LLC,0.0,1,0.0
Engram,0.0,1,0.0
"Enpower Production Database Outage - (Dec 29 6pm to Dec 30 6am -
 PwrProdn)",0.0,2,0.0
FW: Deal: Y82661.1,0.0,2,0.0
"FW: Final Schedule - Monday, July 2, 2001 - George T. Phillips",0.0,1,0.0
FW: Hourly Trading Desk,0.0,3,0.0
FW: Illinois Power Option Pricing,0.0,1,0.0
FW: Index for 5/24/01,0.0,1,0.0
FW: Jason' Bachelor Party,0.0,1,0.0
FW: Letter to the captain - QUANTAS,0.0,2,0.0
FW: Lotus notes?,0.0,1,0.0
Enron Messenging Board,0.0,1,0.0
"Enron Metals Notification Memo 13th November 2001: Five Day Loss
 Limit",0.0,1,0.0
Enron Metals: FX & Rho,0.0,1,0.0
Enron Wholesale Services Legal Department,0.0,1,0.0
"EnronOnline Executive Summary for May 31, 2001",0.0,1,0.0
EnronOptions Update!,0.0,3,0.0
Entergy's new OASIS node is now available,0.0,2,0.0
FW: Phantom Stock Payouts,0.0,1,0.0
FW: Real Time Trader Ryan Thomas,0.0,3,0.0
FW: Rebooks 10/5,0.0,1,0.0
FW: Report Calendar Showed Plane Crashing Near Manhattan,0.0,1,0.0
FW: Resume for Job Posting #0000108727,0.0,2,0.0
FW: Ryan Thomas Interview 6/19/01,0.0,2,0.0
FW: Salmon,0.0,1,0.0
FW: Scotty Ts X-mas Party 2,0.0,3,0.0
FW: TOP 50 GAS CPS - AS OF 11-20-01,0.0,1,0.0
FFL Update,0.0,1,0.0
FINAL DECISION ON ACCRUAL VALUE,0.0,1,0.0
FIST logins,0.0,1,0.0
FW:,0.0,6,0.0
FW: Associate,0.0,1,0.0
FW: Cinergy Hourly Index for 8/30/01,0.0,1,0.0
"FW: DRAFT:  INFORMATION, Please Read: UBSWE Migration postponed",0.0,1,0.0
FW: michael harrison resume/ S-T Power Trader,0.0,1,0.0
FW: scheduler's by region,0.0,1,0.0
FYI: Online Financial Tool StatementOne Has $15 Million Round Two,0.0,1,0.0
Fall APDA Conference,0.0,1,0.0
Fantast Basketball DRAFT TODAY @ 10:30,0.0,2,0.0
February 5th,0.0,1,0.0
"Final Schedule -  Tuesday, May 8, 2001 - Andrew C. Greer",0.0,2,0.0
"Final Schedule - Thursday, May 24, 2001 - John W. Nolan Jr.",0.0,1,0.0
"Final Schedule - Thursday, May 3, 2001 - Joseph Wayne Davis",0.0,1,0.0
FW: MAPP OASIS Partial Outage,0.0,6,0.0
"FW: MAPP Partial Outage Monday, November 19 5am-6am CT",0.0,2,0.0
FW: MISO phase in of operations,0.0,1,0.0
FW: Monthly Acctg Meeting,0.0,1,0.0
FW: My Baby's Page,0.0,1,0.0
FW: OATI Meeting Agenda,0.0,1,0.0
FW: Options Market Update,0.0,2,0.0
FirstEnergy Services Corp.,0.0,1,0.0
"FirstEnergy System to American Transmission Systems, Inc.",0.0,2,0.0
"FirstEnergy Trading Services, Inc.",0.0,3,0.0
Flag Football,0.0,2,0.0
Flat books,0.0,3,0.0
Flood pics,0.0,2,0.0
Follow Up,0.0,2,0.0
Follow-up to VNG meeting,0.0,1,0.0
For Greg's Calendar - Dinner with Operations Team,0.0,1,0.0
FW: TVA New Firm Redirect Policy,0.0,1,0.0
FW: Tahoe,0.0,1,0.0
FW: TheStreet: Trusts Keeping Enron Off Balance,0.0,1,0.0
FW: UBS meeting tommorrow @ 10 am till 1pm,0.0,2,0.0
FW: Vermont Yankee Notification,0.0,1,0.0
FW: Working in a cubical!!!,0.0,1,0.0
FW: if work ever gets you down..,0.0,1,0.0
"Fresno Cogeneration Partners, LP",0.0,2,0.0
From Wellesley,0.0,1,0.0
"Frontier Energy I, LLC",0.0,1,0.0
Fundamental Operating Standards,0.0,2,0.0
Fundamental Presentation,0.0,1,0.0
Funny,0.0,2,0.0
"Fw: Check out The Shower Curtain Song: A tribute to coyboys who
 find no  toilet pa",0.0,1,0.0
Fwd: Foundations,0.0,3,0.0
Fwd: Inspection Report,0.0,3,0.0
"Final Schedule - Thursday, May 31, 2001 - Michael J. Byrne",0.0,1,0.0
"Final Schedule - Tuesday, May 22, 2001 - Jeff M. Gerl",0.0,2,0.0
"Final Schedule - Tuesday, May 22, 2001 - Larry Joe Hunter",0.0,1,0.0
"Final Schedule - Wednesday, May 2, 2001 - Jesus O. Guerra",0.0,2,0.0
"Final Schedule - Wednesday, May 23, 2001 - Kevin M. McLarney",0.0,5,0.0
Final presentation - RAC FAQs,0.0,1,0.0
Financial Council Agenda,0.0,2,0.0
GET READY,0.0,1,0.0
GLOBAL STANDARDS 12/20 TO 12/21,0.0,1,0.0
GRO Production Site,0.0,1,0.0
Game @ 7:00,0.0,2,0.0
Game Tonight,0.0,2,0.0
Game at 8,0.0,1,0.0
Game tonight,0.0,1,0.0
Game tonight @ 7,0.0,1,0.0
Game tonight @ 7:00,0.0,2,0.0
For your review 359pm,0.0,1,0.0
Forgot the Attachment,0.0,4,0.0
Fortune Article,0.0,1,0.0
Forwarding the Resume,0.0,1,0.0
Foster/Sahara meeting.,0.0,1,0.0
Free Trial: Gas Trader,0.0,3,0.0
Freeman,0.0,2,0.0
Global Operations Controller Forum,0.0,3,0.0
Global Operations Controllers Forum,0.0,1,0.0
Global Operations Task Force - Issues Summary,0.0,2,0.0
Global Ops Task Force week ending 9/29,0.0,3,0.0
Global Risk Management Operations Weekly Operating Report,0.0,3,0.0
Global Standards 12/27,0.0,1,0.0
Global Standards 12/28/00,0.0,1,0.0
Global Standards Report - September 2000,0.0,2,0.0
Golf Friday?,0.0,1,0.0
Fwd: [Fwd: Fwd: predictions],0.0,2,0.0
GAME @ 9 on Wed,0.0,1,0.0
GAME TONIGHT @ 7:45,0.0,1,0.0
GAME TONIGHT @ 8:45,0.0,1,0.0
GAME TONIGHT @ 9:45,0.0,1,0.0
GAME WEDNEDSDAY @ 7:00,0.0,1,0.0
Harrison,0.0,1,0.0
Headcount increase from 18 to 20.,0.0,2,0.0
Hello!,0.0,2,0.0
Here's the rest!,0.0,5,0.0
Hey Man,0.0,2,0.0
Hi,0.0,1,0.0
Garvin Brown - AXIA Sr. Power Scheduler,0.0,4,0.0
Gen-Sys Energy,0.0,1,0.0
Generation,0.0,1,0.0
George,0.0,2,0.0
Get CoolBlueOffers(R) Savings,0.0,1,0.0
Get Out Your Light Saber,0.0,5,0.0
Get a FREE DVD@ColumbiaHouse.com! (open for details),0.0,1,0.0
Hot List & Mgmt Summary 9/28/00,0.0,1,0.0
Hourly Trading,0.0,2,0.0
Hourly Trading Position,0.0,1,0.0
Hourly web site,0.0,1,0.0
House on W. Alabama,0.0,1,0.0
Houston visit,0.0,1,0.0
I thought you might be interested . . .,0.0,1,0.0
"IDACORP Energy, LP",0.0,2,0.0
IPG,0.0,2,0.0
Golf Tournament Details,0.0,2,0.0
Gordon Heaney's Acceptance,0.0,2,0.0
Groceries for 1/10/01,0.0,3,0.0
HEY,0.0,1,0.0
India trading operations,0.0,2,0.0
Indianapolis Power and Light Company,0.0,3,0.0
Info for Accounting Offsite,0.0,1,0.0
Info for Sally Beck Jornada,0.0,1,0.0
Input on Breakout Groups,0.0,2,0.0
Insert for Organizational Memo,0.0,1,0.0
Intel Corporation and Davis Wire Corporation,0.0,2,0.0
Intern Offers -- UT,0.0,1,0.0
Internet E-mail,0.0,2,0.0
Hi All,0.0,1,0.0
Historicals,0.0,1,0.0
Holcomb's new address and telephone number,0.0,2,0.0
Holiday Key Contacts List for Energy Operations - Enron Americas,0.0,1,0.0
Holiday posting schedule,0.0,2,0.0
Home Audio?,0.0,1,0.0
Hook 'Em,0.0,1,0.0
Interview: Mechelle Atwood,0.0,1,0.0
Interviews,0.0,2,0.0
Into Cinergy Hourly Index,0.0,1,0.0
"Into Cinergy Hourly Index for November 14, 2001",0.0,2,0.0
"Into Cinergy Hourly Index for November 19, 2001",0.0,2,0.0
"Into Cinergy Hourly Index for November 20, 2001",0.0,3,0.0
Into Cinergy Index,0.0,1,0.0
Invitation to Mardi Gras,0.0,1,0.0
JAN-MAR Degree Day Swaps,0.0,1,0.0
If you are stuck...,0.0,1,0.0
Illinois Power Option Pricing,0.0,1,0.0
Important FastWeb Scholarship Alert!,0.0,1,0.0
In London Office - January 15-19,0.0,1,0.0
Incorrectly booked deals,0.0,1,0.0
Index,0.0,1,0.0
India,0.0,1,0.0
Japan Weekly Update,0.0,1,0.0
Jason Berlin,0.0,1,0.0
Joe Hunter resume,0.0,1,0.0
John B. - vacation,0.0,1,0.0
Julia / Danny Staff Meeting in video room EB49C2,0.0,1,0.0
Julie's Trip,0.0,1,0.0
"June 3, 2000 Super Saturday results and assignments",0.0,1,0.0
June Curve Validation Memorandum,0.0,1,0.0
Jury Duty - November 28,0.0,1,0.0
Ken Lay Resigns from Board,0.0,1,0.0
Interview Schedule,0.0,9,0.0
Interview Schedule for Bruno Messer,0.0,1,0.0
Interview Schedule for Eric Blair,0.0,1,0.0
Interview Schedule for John Franklin,0.0,5,0.0
Interview Schedule for John Jamroz,0.0,1,0.0
Interview Schedules for Steven Jacobellis and Jeffrey Snyder,0.0,1,0.0
LUNCH,0.0,1,0.0
LaRence Snowden,0.0,1,0.0
Las Vegas,0.0,1,0.0
Las Vegas Trip,0.0,1,0.0
Last Call for Accountants.....,0.0,1,0.0
League Dues,0.0,2,0.0
League is Set,0.0,1,0.0
London Doorstep Phase I Responsibility Matrix,0.0,1,0.0
London Doorstep Presentations,0.0,1,0.0
JD VACATION,0.0,2,0.0
JD in LATE,0.0,1,0.0
James is coming...,0.0,1,0.0
January 10 meeting,0.0,1,0.0
January 11 - Managing Operational Risk,0.0,2,0.0
January earnings,0.0,1,0.0
MAD COW DISEASE,0.0,2,0.0
MANUAL WIRE & SAME DAY PAYMENT AUTHORIZATION SCHEDULE,0.0,2,0.0
MAPP ATC Posting Website,0.0,3,0.0
MAPP Customer Service Issue,0.0,2,0.0
MAPP Loss Matrix,0.0,2,0.0
MAPP/Dynegy PC's,0.0,1,0.0
MG Future structure,0.0,1,0.0
MG Inventory Summaries,0.0,1,0.0
MG Middle Office Descriptions,0.0,1,0.0
MISO Advisory Seat,0.0,2,0.0
Kennedy Ranch Weekend,0.0,1,0.0
Kennison,0.0,1,0.0
Kirit Purbhoo Resume,0.0,1,0.0
Knowledge Center,0.0,1,0.0
Kristen's b-day,0.0,1,0.0
"LN Database ""east power trading""",0.0,1,0.0
"MW Off-site @ El Lago Lake Conroe, Fletch, Dorland,",0.0,2,0.0
Mandell,0.0,1,0.0
Manitoba-Hydro Procedures,0.0,1,0.0
Mapp machine,0.0,1,0.0
March 16 Clean-up Day and Garage Sale,0.0,2,0.0
March 8 hourly indexes attached,0.0,1,0.0
Mark Doggett Shower @ iOWA cOLO,0.0,2,0.0
Mark Potts resume,0.0,1,0.0
Market Mail from The Potter Roberts Group,0.0,1,0.0
Market drivers--story attached,0.0,1,0.0
Lotus notes?,0.0,2,0.0
Lower Colorado River Authority,0.0,1,0.0
Lunch,0.0,5,0.0
Lunch Meeting Scheduled for 2/16,0.0,2,0.0
Lunch for UT Summer Analysts and Associates,0.0,2,0.0
M. Bodnar/Storage Allocation to meet in Lynn's office,0.0,1,0.0
Meeting Today at 1:30 Re: Compensation Study,0.0,1,0.0
Meeting and Business Reports,0.0,2,0.0
Meeting in San Antonio - September 13-15,0.0,1,0.0
Membership information you requested,0.0,1,0.0
Message from Rusty,0.0,3,0.0
Metro 214 and 216 downtown route changes,0.0,2,0.0
Mgmt Summary & Hot List,0.0,1,0.0
Miachael's Address,0.0,1,0.0
Michael Byrne-Real Time Trader,0.0,2,0.0
Mid Market/Trader Mtg. w/Regions,0.0,1,0.0
MISO Approved for Start Up of Transmission Functions,0.0,1,0.0
MISO proposed $1000 penalty,0.0,3,0.0
MISO proposed tariff change,0.0,1,0.0
MNF,0.0,1,0.0
MPR 12/29/00,0.0,2,0.0
MUI Access Notification,0.0,1,0.0
Minutes & Actions from today's UBS Start Up coordination meeting,0.0,1,0.0
Minutes and actions from todays UBS start up meeting,0.0,1,0.0
Missed our Timing,0.0,1,0.0
"Mobile Energy Services Company, L.L.C.",0.0,2,0.0
Monday's Game,0.0,2,0.0
Monthly meeting,0.0,1,0.0
More Dallas ASE Information,0.0,1,0.0
More I-bank info,0.0,3,0.0
Mr. Hamilton,0.0,1,0.0
N.O.V. Updates,0.0,1,0.0
Marriott,0.0,1,0.0
Mason Hamlin Interview 6/27/01,0.0,1,0.0
Mass time correction,0.0,1,0.0
Master Power Contracts,0.0,8,0.0
Mastio/FGT Mtg.,0.0,1,0.0
Matthew Olney,0.0,2,0.0
"NOTIFICATION:  Outlook Outage - Monday, January 7, 2002",0.0,1,0.0
"NYISO - Opening Technical Bulletin # 74 - Virtual Bidding in the
 Day-	Ahead Market",0.0,1,0.0
Name of Doctor,0.0,1,0.0
Natalie Mahdi,0.0,1,0.0
National Grid as Managing member of ARTO,0.0,1,0.0
Need assistanece wil taking lights down?,0.0,2,0.0
Needs Improvement Managers and Directors,0.0,1,0.0
New Active X for EOL Website,0.0,1,0.0
New Analyst,0.0,1,0.0
New Gen Update 2,0.0,1,0.0
Mid Year Evaluation Form,0.0,1,0.0
Mid year review - resume,0.0,1,0.0
Mid-Year 2001 Performance Feedback,0.0,1,0.0
Mid-Year PRC,0.0,1,0.0
Midwest/Southeast Desk Meeting w/Fletch Sturm,0.0,2,0.0
Minnesota Municipal Power Agency,0.0,5,0.0
New Products,0.0,1,0.0
New Stock Symbol,0.0,1,0.0
New Team,0.0,3,0.0
New Years,0.0,2,0.0
New deals,0.0,1,0.0
New price reporters at TradersNews,0.0,1,0.0
Next Day Checkouts with AEP,0.0,1,0.0
No more Hourly trades with IP,0.0,1,0.0
No trades with PG&E,0.0,6,0.0
Northern States Power Company,0.0,1,0.0
NBPL Town Border Stations,0.0,1,0.0
NEED COMMENTS-Dynegy v. ComEd response,0.0,1,0.0
NEW PASSWORD FOR EXELON (CE) CHECKOUTS,0.0,1,0.0
NEW VERSION OF THE VIEW DATA DATABASE,0.0,2,0.0
NO GAME TONIGHT,0.0,1,0.0
NOTICE TO ALL,0.0,1,0.0
OU Salaries,0.0,2,0.0
October 20 Meeting re: Internal Audit Projects for September,0.0,2,0.0
Open Enrollment 2001 Deadline,0.0,2,0.0
"Operational Risk Forum Luncheon beginning this Monday, January 29",0.0,1,0.0
Operations Contacts - Week of March 12,0.0,3,0.0
Order re. transfer of operational control to MISO,0.0,2,0.0
Our next vacation,0.0,2,0.0
Out of Office,0.0,1,0.0
Out of Office August 29-31 - Key Contacts,0.0,1,0.0
"New Hire Orientation for Monday, Aug. 21, 2000",0.0,1,0.0
"New Hire Orientation, Monday, July 24, 2000",0.0,1,0.0
New Interchange Subcommittee Officers,0.0,3,0.0
New MAPP LRP procedures,0.0,1,0.0
New Model,0.0,1,0.0
New Power Book Req #839,0.0,1,0.0
PG&E Weekly Report,0.0,1,0.0
PJM and Cinergy Prices,0.0,3,0.0
POWER REVIEW,0.0,1,0.0
PRC,0.0,1,0.0
PRC Binders,0.0,1,0.0
PRC Pre-ratings,0.0,1,0.0
PRC Rep,0.0,1,0.0
PRC Summary Report,0.0,1,0.0
PX Credits,0.0,1,0.0
PacifiCorp,0.0,1,0.0
Nov. Staff Mtg.,0.0,1,0.0
